,param,value,evaluation
0,10,0.8178595616753962,valid f1
1,15,0.8414728927598835,valid f1
2,20,0.8401669393004233,valid f1
3,25,0.8433987687421002,valid f1
4,30,0.8438239619891847,valid f1
5,35,0.8431170843685667,valid f1
6,40,0.8445563495079327,valid f1
7,45,0.8449805468024776,valid f1
8,50,0.842215710772932,valid f1
9,55,0.8423541884297142,valid f1
10,60,0.8433870644699102,valid f1
11,65,0.8439585826946311,valid f1
12,70,0.8463928091071341,valid f1
13,75,0.8469679340267403,valid f1
14,80,0.8462427337305493,valid f1
15,85,0.8451060035769636,valid f1
16,90,0.8449676966431038,valid f1
17,95,0.8442628915488948,valid f1
18,100,0.84813724078766,valid f1
19,105,0.8497986780826178,valid f1
20,110,0.850936635875807,valid f1
21,115,0.8513696086915924,valid f1
22,120,0.8526693627455857,valid f1
23,125,0.8557320632730155,valid f1
24,130,0.856176236988774,valid f1
25,135,0.8574917186509229,valid f1
26,140,0.8594043111505633,valid f1
27,145,0.8591075947537573,valid f1
28,150,0.8588131413193817,valid f1
29,155,0.8588131413193817,valid f1
30,160,0.8588131413193817,valid f1
31,165,0.8588131413193817,valid f1
32,170,0.8588131413193817,valid f1
33,175,0.8559874637010486,valid f1
34,180,0.8556912932889865,valid f1
35,185,0.8549692653473749,valid f1
36,190,0.8549692653473749,valid f1
37,195,0.8546291292929533,valid f1
38,200,0.8549252997050155,valid f1
39,205,0.8549252997050155,valid f1
40,210,0.8547815093995,valid f1
41,215,0.8547796928766154,valid f1
42,220,0.8546333478608886,valid f1
43,225,0.854485338987438,valid f1
44,230,0.8541897782931566,valid f1
45,235,0.8534535317484956,valid f1
46,240,0.8538948254357788,valid f1
47,245,0.8530135951919778,valid f1
48,250,0.8531599402077047,valid f1
49,255,0.8531599402077047,valid f1
50,260,0.8519933635024519,valid f1
51,265,0.8519933635024519,valid f1
52,270,0.8519933635024519,valid f1
53,275,0.8517048450162523,valid f1
54,280,0.8517048450162523,valid f1
55,285,0.8527219535394027,valid f1
56,290,0.8527219535394027,valid f1
57,295,0.8527219535394027,valid f1
58,300,0.8528678496442734,valid f1
0,10,0.9561707035755479,valid recall
1,15,0.9573241061130334,valid recall
2,20,0.9573241061130334,valid recall
3,25,0.9592464436755095,valid recall
4,30,0.9592464436755095,valid recall
5,35,0.9592464436755095,valid recall
6,40,0.9592464436755095,valid recall
7,45,0.9592464436755095,valid recall
8,50,0.9592464436755095,valid recall
9,55,0.9592464436755095,valid recall
10,60,0.9627066512879662,valid recall
11,65,0.9627066512879662,valid recall
12,70,0.9627066512879662,valid recall
13,75,0.9627066512879662,valid recall
14,80,0.9627066512879662,valid recall
15,85,0.9627066512879662,valid recall
16,90,0.9627066512879662,valid recall
17,95,0.9627066512879662,valid recall
18,100,0.9627066512879662,valid recall
19,105,0.9623221837754711,valid recall
20,110,0.9623221837754711,valid recall
21,115,0.9623221837754711,valid recall
22,120,0.9623221837754711,valid recall
23,125,0.9623221837754711,valid recall
24,130,0.9623221837754711,valid recall
25,135,0.9623221837754711,valid recall
26,140,0.9623221837754711,valid recall
27,145,0.9623221837754711,valid recall
28,150,0.9623221837754711,valid recall
29,155,0.9623221837754711,valid recall
30,160,0.9623221837754711,valid recall
31,165,0.9623221837754711,valid recall
32,170,0.9623221837754711,valid recall
33,175,0.9619377162629758,valid recall
34,180,0.9619377162629758,valid recall
35,185,0.9619377162629758,valid recall
36,190,0.9619377162629758,valid recall
37,195,0.9615532487504805,valid recall
38,200,0.9615532487504805,valid recall
39,205,0.9615532487504805,valid recall
40,210,0.9615532487504805,valid recall
41,215,0.9615532487504805,valid recall
42,220,0.9615532487504805,valid recall
43,225,0.9615532487504805,valid recall
44,230,0.9615532487504805,valid recall
45,235,0.9615532487504805,valid recall
46,240,0.9615532487504805,valid recall
47,245,0.9615532487504805,valid recall
48,250,0.9615532487504805,valid recall
49,255,0.9615532487504805,valid recall
50,260,0.9615532487504805,valid recall
51,265,0.9615532487504805,valid recall
52,270,0.9615532487504805,valid recall
53,275,0.9615532487504805,valid recall
54,280,0.9615532487504805,valid recall
55,285,0.9615532487504805,valid recall
56,290,0.9615532487504805,valid recall
57,295,0.9615532487504805,valid recall
58,300,0.9615532487504805,valid recall
0,10,0.817406827930432,train f1
1,15,0.8433256569926241,train f1
2,20,0.8420040500070668,train f1
3,25,0.8443678560300759,train f1
4,30,0.8447932148885801,train f1
5,35,0.8445933580417898,train f1
6,40,0.8463307586673187,train f1
7,45,0.8465427855353055,train f1
8,50,0.8434034438964613,train f1
9,55,0.8438241494428507,train f1
10,60,0.8438096375698007,train f1
11,65,0.8440235753245225,train f1
12,70,0.8473992195373216,train f1
13,75,0.8483976260871292,train f1
14,80,0.8488225181303585,train f1
15,85,0.8478812859159466,train f1
16,90,0.8485274567553969,train f1
17,95,0.8482845522447654,train f1
18,100,0.8516114283803699,train f1
19,105,0.8524553370515173,train f1
20,110,0.8528867669544219,train f1
