model,f1,recall
lr_stat,0.6159078292367679,0.9580930411380238
rf_stat,0.9467937691365941,0.9953863898500576
svm_stat,0.8528678496442734,0.9615532487504805
lr_text,0.9583581104523007,0.9777008842752787
rf_text,0.9586886031833791,0.9769319492502883
svm_text,0.9535069563164659,0.9734717416378316
