model,f1,recall
rf_meth_path_pshuffle_200,0.9562911409221183,0.9718569780853518
lr_meth_path_pshuffle_200,0.9562316988124632,0.9777008842752787
svm_meth_path_pshuffle_200,0.9523287236579069,0.9777008842752787
gru_meth_path_pshuffle,0.9564097500454869,0.9792387543252595
lstm_meth_path_pshuffle,0.9549960261436993,0.9798539023452518
