,content-length
692,43
693,0
694,-1
695,-1
696,-1
697,-1
698,-1
699,43
700,-1
701,43
702,43
703,43
704,-1
705,-1
706,-1
707,0
708,-1
709,46890
710,-1
711,-1
712,-1
713,43
714,43
715,-1
716,-1
717,43
718,1185
719,-1
720,-1
721,3317363
722,-1
723,-1
724,43
725,-1
726,-1
727,-1
728,268
729,-1
730,-1
731,-1
732,224
733,-1
734,45
735,545
736,-1
737,-1
738,-1
739,-1
740,-1
741,-1
742,-1
743,-1
744,189614
745,43
746,-1
747,258
748,-1
749,-1
750,-1
751,34
752,43
753,-1
754,-1
755,-1
756,-1
757,-1
758,4221152
759,43
760,43
761,43
762,43
763,43
764,-1
765,43
766,43
767,-1
768,16479
769,9341
770,16779
771,-1
772,43
773,43
774,7359
775,17038
776,16612
777,16379
778,235
779,43
780,43
781,43
782,43
783,-1
784,15004
785,9977
786,8401
787,43
788,43
789,43
790,43
791,-1
792,14141
793,13641
794,43
795,7230
796,43
797,14562
798,43
799,43
800,15257
801,43
802,-1
803,13159
804,43
805,14960
806,43
807,20727
808,10283
809,43
810,43
811,43
812,23321
813,16197
814,43
815,12467
816,10867
817,15857
818,10119
819,-1
820,16826
821,16525
822,15464
823,16508
824,6109
825,14636
826,15340
827,13340
828,13811
829,14091
830,12767
831,152
832,-1
833,9820
834,9782
835,-1
836,8089
837,20946
838,14460
839,43
840,12822
841,43
842,14253
843,8001
844,5756
845,11004
846,43
847,-1
848,12405
849,20881
850,0
851,13369
852,10531
853,43
854,43
855,43
856,43
857,43
858,43
859,152
860,16115
861,16213
862,30320
863,20377
864,21396
865,-1
866,-1
867,14786
868,-1
869,-1
870,-1
871,24710
872,17567
873,62404
874,44758
875,23450
876,-1
877,-1
878,18384
879,-1
880,14140
881,-1
882,39742
883,21069
884,-1
885,32358
886,43
887,43
888,13389
889,31356
890,19591
891,43
892,224
893,48006
894,-1
895,35799
896,22872
897,38304
898,-1
899,47390
900,52747
901,-1
902,-1
903,-1
904,-1
905,43
906,40457
907,29804
908,17937
909,268
910,548
911,25112
912,20356
913,0
914,-1
915,-1
916,-1
917,45
918,-1
919,-1
920,-1
921,-1
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,-1
929,43
930,-1
931,92
932,-1
933,43
934,43
935,235
936,43
937,43
938,43
939,43
940,235
941,43
942,43
943,43
944,-1
945,-1
946,43
947,235
948,268
949,43
950,339
951,43
