model,f1,recall
gru_meth_pshuffle,0.9329756346611667,0.9637062668204538
lstm_meth_pshuffle,0.9296713689751792,0.9646289888504421
fasttext_meth_pshuffle,0.841897,0.737024
lr_meth_pshuffle_140,0.9294573275606338,0.9634755863129566
rf_meth_pshuffle_100,0.9314799073424985,0.9617839292579777
svm_meth_pshuffle_300,0.9281649561695685,0.9634755863129566
